SN,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10
0,19.900301744576925,20.01215974507938,19.992366761522472,20.049185570595,20.01478010255146,19.971302752312234,20.05543695148036,20.001831349503334,19.957088582572762,20.057374333590225
1,20.0604728918664,20.036732298114856,20.036125313829057,20.016203864404908,20.065483330047165,19.93933515578162,19.95701979117971,20.066453427595874,20.005408565264904,20.05598398703733
2,20.098288436356494,20.1634599293399,20.103543824491634,20.131955024630916,20.222338756705113,19.896734881968552,20.034059743540567,19.95359480583481,20.156958850496515,20.058862166747907
3,20.237880775297754,20.15520392570466,20.217577228255593,20.24433706662928,20.256228230281486,20.02469577364405,20.005371345728687,20.04223017568842,19.961131594320204,19.907425520497952
4,20.332001599949766,20.35423055645112,20.30349755468869,20.29653826551254,20.343441358206654,20.02047717130523,20.04865159912777,20.00873461863561,19.978474995047865,19.99125390847372
5,20.378677659377193,20.42252650061245,20.409685432765578,20.324007577091983,20.465589693020355,20.017630148808003,20.040046113848348,20.04794676933517,20.00775534547709,20.06852725636326
6,20.43233403804717,20.421481556720323,20.483545924483213,20.470007828605862,20.508521723890514,20.025977412105057,19.96883931429734,19.989555718348946,20.003638562830822,20.00299613942101
7,20.509238861932943,20.508741752482216,20.59406757440084,20.469445795867983,20.5395268849711,19.985744220027463,20.08227888906813,19.906743226848093,20.036938590081203,20.064565338180426
8,20.57611000985154,20.540519974063294,20.609298311049937,20.63719212438103,20.658255220410318,20.054325247456468,20.078074788438474,19.994493686108175,20.008844030573318,20.01398072956112
9,20.736379853008515,20.74968508502248,20.720292023202138,20.654282892255182,20.736684827255168,19.99664644601426,19.968285752240586,19.964648271262696,19.97756108332774,19.91853361864038
10,20.765708877392864,20.69282483719419,20.811695356097577,20.776223793762945,20.799089664254517,20.054675345849997,19.974479612489773,20.033624826260983,19.952235957315285,20.06170516115018
11,20.831634309214213,20.854639834480537,20.92712470424172,20.825615509463187,20.892177361178682,20.017490605705007,20.033637115729864,20.06158083467008,19.976984410764214,19.960357410336353
12,20.892978607706667,20.928421027888284,20.945802804878173,21.032204245486223,20.984013700707056,20.025733379476517,20.016643175534476,20.03426282999964,20.094135018614445,19.957219448294612
13,20.89906454649548,21.063692058018425,21.024834648587245,20.978149057309015,21.038537095880006,19.98184345684986,20.00147370305551,20.11081996848015,19.913756662486648,19.952952481869616
14,21.08965599935973,21.191666644592217,21.144654661170335,21.044751252761568,21.06393849675021,20.018721938217215,19.917231783564503,20.004677592851635,19.976141313302367,19.92889608401968
15,21.195837385330755,21.127470714971818,21.12183018968202,21.280605400429106,21.120832113436894,20.037329605324278,20.006576788069385,19.961073361848307,19.959317226237967,19.984686602673285
16,21.252483712778357,21.22305993887836,21.316492686480117,21.299402098051555,21.32183285857881,19.9578789273537,20.11801687458783,19.88661198481733,20.036119203266033,20.063407065001186
17,21.243181579240236,21.374015862716373,21.29785599243577,21.32439246411708,21.28823289509895,20.038292260367314,19.995228043063243,20.043747082064534,20.033598779935033,20.085251134534893
18,21.353143734304755,21.35817420970397,21.362423024011044,21.321911177022997,21.41082102345399,19.990258563371402,19.912073230666536,19.915534779723004,20.085990672515173,19.928203408193042
19,21.42472701245381,21.452635128212233,21.42003720600968,21.422399595218895,21.422188460205195,20.021057051770377,20.044601039260368,20.070821813943674,20.00933973155268,19.941874423208077
20,21.536232310981546,21.536084521582787,21.48340328275251,21.525061779619712,21.518555015369696,19.948158572714966,20.028435387647416,19.99712520498529,19.873096453697084,20.01973969331844
21,21.6391031174021,21.657308602735736,21.57557920994523,21.60109146919021,21.652088079123867,19.975403554670784,19.879085547323964,20.067381851294936,20.00439291215488,19.96422853929551
22,21.64601944389608,21.6155721351467,21.67116817302443,21.743802506306317,21.713299349879623,19.9801723279211,19.935863505483404,19.98622184759754,20.019333894033498,20.044798026377936
23,21.845774306857464,21.91433301016428,21.76618980780759,21.725419560876844,21.78502793719397,19.878755038104934,20.07609271984439,20.031018820805883,20.021641727528223,20.006721604314677
24,21.86059413303058,21.834129654764304,21.801753572811947,21.856168070016,21.828878716297748,20.00706592911196,19.988862129339534,20.086671496104042,19.937427536819666,19.982957389665152
25,21.859222975339534,21.900112040406253,21.928731505784018,21.929038194152454,21.90265272332065,19.90135613123392,19.98407225216668,20.04112698716134,20.01919286643797,19.99472314024721
26,22.01971622776252,21.920783569896397,22.017026563402805,21.965771605791726,21.914076450384528,19.93100620465563,20.089638806623732,20.07705174158768,19.965419012467365,19.971454494713726
27,22.081839178986378,22.084140735251335,21.990300364508283,22.08955454008838,22.07981322615252,19.973356993049357,20.004431505493834,19.97266792084937,19.99582451896582,20.04951344345818
28,22.066739554452766,22.150684622432575,22.180708748203504,22.123736305875703,22.128249182367345,20.02352915947895,20.028086860770657,19.97944113397748,20.017081936915538,20.032553656724474
29,22.23956356527658,22.259326663349047,22.1726871807039,22.222249204336023,22.251709366055398,19.997412526420064,20.061673379992442,20.01504266709991,20.016961047269028,19.959920445747255
30,22.272525543869577,22.25094495781597,22.254303839287743,22.260716799189623,22.196916483851954,19.960949375551188,19.959214081861422,20.014155775384854,20.035673605615987,19.941399568763565
31,22.37222919849039,22.28090231824273,22.277796070404644,22.38156140733686,22.335925434031694,20.05225929815255,20.007076899721085,20.054991386731068,20.052254077431854,19.988596731483486
32,22.459083622058127,22.42073082940894,22.332094632498748,22.45334437166194,22.40670415210943,20.057635085660184,20.039744014139064,20.01308364471995,20.02580190307282,19.988885963839653
33,22.42505307802107,22.568067823357687,22.48343834160263,22.388484517539315,22.472848955407365,19.99104285097797,19.966787307978873,20.03293294475449,20.008397252135246,19.98832767411204
34,22.54507113794512,22.489589568936776,22.546402650660376,22.536558378587223,22.66777735021697,19.97038373876639,20.04861868556991,20.041609010681345,20.00371849386475,20.01172757113564
35,22.565150220233175,22.536160010826702,22.65326354371233,22.598581690391896,22.62747226651837,19.996506943104873,20.057721115749022,20.026103798769416,20.04135403976314,19.993641731081507
36,22.718112813679305,22.71365466365512,22.61845157877733,22.682303893509914,22.614864988501203,19.96519734270239,19.999352051494693,19.96282465184196,20.02642671962153,20.007339631834363
37,22.719531154996652,22.69472436590379,22.755542587002513,22.677073758419823,22.74831460829545,20.0001787834725,20.004811579496465,19.943433077883665,20.011240272455908,20.03970453780966
38,22.817725286276534,22.82706834217237,22.842554329087548,22.794445498364905,22.799936980485104,19.935899514388858,20.098631326109878,20.02798892591341,20.008627212697924,19.971538366971863
39,22.829097527833362,22.943048497980524,22.959490822719477,22.901791282902828,22.88205144081562,20.02219073353879,19.989375364020656,20.01040427324336,20.015690730620033,19.973689757406802
40,22.943249713746955,22.96419544475481,22.804958935993646,22.947843754766424,22.89813391512132,19.94074249945128,19.937627550311642,20.037508239794168,20.065630084358453,19.942475068279325
41,22.93706634549084,22.957293212150482,22.987860633253973,22.978046450750735,22.911871707474187,20.021096600687926,20.029875044016,19.959344287169923,19.97476664241908,19.96558531448568
42,23.019490556531153,23.024695722318025,23.112972605183543,23.163787853150087,23.063074628763637,20.01453944269839,20.08174714419319,19.97812327439494,20.012747731644794,20.07484009519135
43,23.234597291469534,23.15982475845108,23.14409464536082,23.152294707767823,23.13080386914429,20.04282855904964,20.026188841228983,19.954493315768186,19.97888308396004,19.94794303953203
44,23.106005670516673,23.141562075278,23.226992477468876,23.097030191092212,23.147596724551473,20.01068486113412,19.99804724648026,20.058640257810058,19.983938631252908,19.93631015930733
45,23.40928448016307,23.217140153052636,23.28349830811992,23.212395559893732,23.282774376139475,19.965977970144937,20.127319119090224,19.97524418290547,19.94315461993672,19.977537516668285
46,23.365496916541115,23.240968485363968,23.324940992120137,23.368490607510743,23.2718083781241,19.999135219965627,20.07232516904523,19.96821100774082,20.006908926564982,20.08877903617447
47,23.36021510050862,23.22315975253529,23.379829226009594,23.387535848308147,23.350795586320896,19.996556223685626,20.02351498888881,19.98845904179634,20.051073633906476,20.06458562826749
48,23.454224879065816,23.408837593848855,23.442662355843606,23.41860700508241,23.478503695028767,19.969104317537507,19.959061833656953,19.973327882977973,19.97775229731364,19.96631346680452
49,23.427673323820123,23.40916252966583,23.506968169858304,23.441567131698708,23.535105678625232,20.05349209133046,19.99638081246369,20.001410301291397,19.902498333736272,20.008037779156364
50,23.539074805279583,23.542401743018218,23.51430428410144,23.516791339943712,23.575803867393834,19.961622180542374,19.948764722671104,20.01889227331226,20.025430087722423,19.930385147665678
