SN,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10
0,20.00332684010783,19.998758451649135,20.005986679403637,19.94383721029016,19.95620084049924,20.068238499937994,20.001816874769904,19.937420238734408,20.018506194802814,20.02079720002482
1,20.043716315607348,20.040817484083444,20.053270473623012,20.062539764846118,20.034983149114495,19.92556839179845,20.03144806235934,20.05053573049067,20.030834184263306,20.039494347871663
2,20.19673779834902,20.107129028415258,20.07466998552973,20.076754482701624,20.083106196849027,20.009703665834706,20.009686760081628,19.9206032076774,19.976964027917365,19.96609670428522
3,20.208335708314472,20.248363804587736,20.230865115590717,20.250589645198467,20.14123364750672,20.061026638002396,19.972591130217392,20.042544960437414,19.994732637370443,20.061595175603067
4,20.27059821888945,20.28502385427226,20.24691595831866,20.22361291784729,20.279216014624158,20.01411105978243,20.01904536019568,19.950431929386838,20.051288699140297,19.994773249842513
5,20.290428972812492,20.296671145163064,20.23995104299699,20.39260244746417,20.382973908699476,19.932369347378287,19.979463925966794,19.939095985898657,19.960391131259776,20.019684567185696
6,20.398312274689054,20.330546955566557,20.315184303618107,20.405409275718526,20.318267208586057,19.97431256838738,20.028546457761674,19.989788526772404,19.956889801032467,19.973581688471064
7,20.40403393946343,20.470084485803692,20.355318539895055,20.49802924271833,20.407115149553324,20.003617370155787,20.033645826432057,20.006734022828184,19.980636268524417,19.956360330069824
8,20.39413941017063,20.558312144679256,20.551944713338525,20.552836269293188,20.409304972019452,20.050280806764324,20.04715214119879,20.042785215031003,19.911922044574123,20.13450524534798
9,20.59763847054669,20.571964314657496,20.595376317706616,20.56763381053239,20.52984290271399,19.96686246799533,20.012038256916938,20.023123573847418,20.092902959642892,20.045022020432246
10,20.640047718807125,20.641364849247772,20.694065110053522,20.57050628542803,20.69917023291487,19.970277343815017,19.9848344817646,20.00141051761572,20.08079502647847,20.048305280269773
11,20.71624649616116,20.598283859909273,20.74043194957786,20.786083593466262,20.654040107804775,20.00558265552043,19.9215695211243,20.026503168931733,19.986696092975077,20.080318781149412
12,20.77607942704584,20.76097316429982,20.651686415868287,20.701521298781515,20.688926201371807,19.987667440531144,20.070647278164913,20.0421855351048,20.02830737498107,20.004393333212494
13,20.735648361614043,20.84713975859267,20.8674862580759,20.757090334088875,20.802790382675024,20.07444074389806,20.002340897207677,19.958986529071684,20.039788760754725,20.016021965545388
14,20.90361695241017,20.887517198559348,20.85273261527025,20.865095362921604,20.817821590351468,20.00706926793986,20.074682072965473,20.099152358037706,19.96200600577592,19.976194474778946
15,20.954030967621005,21.08770425356293,20.914091513036393,20.971409187642845,20.881542354414343,19.985978640449492,20.020202491533365,20.014363863817923,19.964076149867957,19.96513049702317
16,20.935184613428362,21.00933705115999,20.937560309091342,20.912135969680392,20.999118585198687,20.02195201481985,20.04022119192173,20.0324725343388,19.9952683632964,19.93409419262477
17,21.07492880892539,21.061213136410178,21.135499828719464,21.070890186144986,21.019788415202775,19.98331303501744,20.009859880518178,20.032270204833335,20.082381113716256,20.082852650590706
18,21.12803519348651,21.103544764749145,21.20458459224021,21.128147763020092,21.10528602906574,20.032393440393555,19.985683790472585,19.88857721047431,20.055039093851697,19.920200466734165
19,21.13206573187289,21.183608208560518,21.207452557998113,21.235336612942657,21.15154585452645,20.039229878845973,19.87349970993343,20.049903686216446,20.00847592238013,19.94733177207281
20,21.219277687835177,21.173833182686558,21.141681297721952,21.23573081838925,21.353406355681557,19.99509713433809,20.019645616815502,19.959695368522667,19.991055297110368,19.941698023874054
21,21.36042446732358,21.172049597817132,21.338375124820807,21.346003898301362,21.213356190209037,19.994284659751692,19.942055207397672,20.049573631998125,19.906573034802776,20.007183048088173
22,21.346335697113336,21.38112677355139,21.278413327757242,21.352156925699248,21.405581032395737,20.00874390197615,19.93873797405813,19.91913393743675,20.0517659184478,20.011464323560087
23,21.375070284581255,21.426159140354606,21.55637331213932,21.414359209268124,21.378315225141613,20.02369372189421,19.933075978621506,19.988367799447598,19.936467798259123,19.895027689315537
24,21.468038665471983,21.431975864516605,21.556792200279812,21.470643202963636,21.52053832526109,19.953447638054442,19.932266102670958,20.00471853318565,19.943828173954955,19.987461420140338
25,21.47764033715295,21.555383858241118,21.57054894397973,21.539423279793265,21.535471791003438,20.077390943823755,20.0249429510225,19.972831211404202,20.031823278959028,19.984317761012484
26,21.658601638828245,21.656137259433326,21.5531616664057,21.631070452013628,21.55478387261109,19.9905681952085,20.01228573782247,20.034741226853132,20.038719159642095,19.984996592464146
